train_id,timeframe,current_time,number_of_passengers,route_name,status,current_station,previous_station,next_station,longitude,latitude,longitude_interpolated,latitude_interpolated,speed,speed_x,speed_y,yaw,yaw_change_rate,speed_interpolated,speed_x_interpolated,speed_y_interpolated,yaw_interpolated,yaw_change_rate_interpolated
b1_0,2029-02-01 16:00:00,2029-02-01 16:00:00,0,b1,at_station,,,31,-21.8468768,64.1271257,-21.8468768,64.1271257,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
b1_0,2029-02-01 16:00:30,2029-02-01 16:00:30,0,b1,at_station,,,31,-21.8468768,64.1271257,-21.8468768,64.1271257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1_0,2029-02-01 16:01:00,2029-02-01 16:01:00,0,b1,at_station,31,31,32,-21.8468768,64.1271257,-21.8468768,64.1271257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1_0,2029-02-01 16:01:30,2029-02-01 16:01:30,0,b1,at_station,31,31,32,-21.8468768,64.1271257,-21.8468768,64.1271257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1_0,2029-02-01 16:02:00,2029-02-01 16:02:00,50,b1,on_track,,31,32,-21.8468768,64.1271257,-21.8468768,64.1271257,6.5766467432319455,6.5766467432319455,6.5766467432319455,0.8829412027297522,0.02943137342432465,6.5766467432319455,6.5766467432319455,6.5766467432319455,0.8829412027297522,0.02943137342432465
b1_0,2029-02-01 16:02:30,2029-02-01 16:02:30,50,b1,on_track,,31,32,-21.84574802589126,64.12714309604692,-21.84574802589126,64.12714309604692,6.576642631172107,6.576642631172107,6.576642631172107,0.8829412027297522,0.0,6.576642631172107,6.576642631172107,6.576642631172107,0.8829412027297522,0.0
b1_0,2029-02-01 16:03:00,2029-02-01 16:03:00,50,b1,on_track,,31,32,-21.84461925178252,64.12716049209385,-21.84461925178252,64.12716049209385,6.5766385191116665,6.5766385191116665,6.5766385191116665,0.8829412027297522,0.0,6.5766385191116665,6.5766385191116665,6.5766385191116665,0.8829412027297522,0.0
b1_0,2029-02-01 16:03:30,2029-02-01 16:03:30,50,b1,on_track,,31,32,-21.843490477673782,64.12717788814078,-21.843490477673782,64.12717788814078,6.576634407050624,6.576634407050624,6.576634407050624,0.8829412027297522,0.0,6.576634407050624,6.576634407050624,6.576634407050624,0.8829412027297522,0.0
b1_0,2029-02-01 16:04:00,2029-02-01 16:04:00,50,b1,on_track,,31,32,-21.842361703565043,64.1271952841877,-21.842361703565043,64.1271952841877,6.576630294988979,6.576630294988979,6.576630294988979,0.8829412027297522,0.0,6.576630294988979,6.576630294988979,6.576630294988979,0.8829412027297522,0.0
b1_0,2029-02-01 16:04:30,2029-02-01 16:04:30,50,b1,on_track,,31,32,-21.841232929456304,64.12721268023463,-21.841232929456304,64.12721268023463,6.576626182933422,6.576626182933422,6.576626182933422,0.882941203450914,2.4039081836235708e-11,6.576626182933422,6.576626182933422,6.576626182933422,0.882941203450914,2.4039081836235708e-11
b1_0,2029-02-01 16:05:00,2029-02-01 16:05:00,50,b1,on_track,,31,32,-21.840104155347564,64.12723007628158,-21.840104155347564,64.12723007628158,6.576622070884549,6.576622070884549,6.576622070884549,0.8829412027269737,2.4130978696727348e-11,6.576622070884549,6.576622070884549,6.576622070884549,0.8829412027269737,2.4130978696727348e-11
